Year,State,Ag District,Ag District Code,County,Value
2022,ILLINOIS,WEST,30,ADAMS,61.2
2020,ILLINOIS,WEST,30,ADAMS,54.8
2019,ILLINOIS,WEST,30,ADAMS,49.8
2018,ILLINOIS,WEST,30,ADAMS,59.3
2017,ILLINOIS,WEST,30,ADAMS,55.9
2016,ILLINOIS,WEST,30,ADAMS,56.8
2015,ILLINOIS,WEST,30,ADAMS,52.1
2014,ILLINOIS,WEST,30,ADAMS,50.7
2013,ILLINOIS,WEST,30,ADAMS,43.6
2012,ILLINOIS,WEST,30,ADAMS,40.7
2011,ILLINOIS,WEST,30,ADAMS,41.4
2010,ILLINOIS,WEST,30,ADAMS,48.7
2009,ILLINOIS,WEST,30,ADAMS,47
2008,ILLINOIS,WEST,30,ADAMS,41
2007,ILLINOIS,WEST,30,ADAMS,37
2006,ILLINOIS,WEST,30,ADAMS,43
2005,ILLINOIS,WEST,30,ADAMS,43
2004,ILLINOIS,WEST,30,ADAMS,49
2003,ILLINOIS,WEST,30,ADAMS,44
2002,ILLINOIS,WEST,30,ADAMS,48
2001,ILLINOIS,WEST,30,ADAMS,44
2000,ILLINOIS,WEST,30,ADAMS,47
1999,ILLINOIS,WEST,30,ADAMS,35
1998,ILLINOIS,WEST,30,ADAMS,41
1997,ILLINOIS,WEST,30,ADAMS,45
1996,ILLINOIS,WEST,30,ADAMS,40
1995,ILLINOIS,WEST,30,ADAMS,38
1994,ILLINOIS,WEST,30,ADAMS,46
1993,ILLINOIS,WEST,30,ADAMS,40
1992,ILLINOIS,WEST,30,ADAMS,38.5
1991,ILLINOIS,WEST,30,ADAMS,36.5
1990,ILLINOIS,WEST,30,ADAMS,33.5
1989,ILLINOIS,WEST,30,ADAMS,29
1988,ILLINOIS,WEST,30,ADAMS,27
1987,ILLINOIS,WEST,30,ADAMS,37
1986,ILLINOIS,WEST,30,ADAMS,36.5
1985,ILLINOIS,WEST,30,ADAMS,39
1984,ILLINOIS,WEST,30,ADAMS,28.5
1983,ILLINOIS,WEST,30,ADAMS,23
1982,ILLINOIS,WEST,30,ADAMS,37
1981,ILLINOIS,WEST,30,ADAMS,36
1980,ILLINOIS,WEST,30,ADAMS,32.5
2022,ILLINOIS,WEST SOUTHWEST,60,BOND,58.6
2021,ILLINOIS,WEST SOUTHWEST,60,BOND,65
2020,ILLINOIS,WEST SOUTHWEST,60,BOND,59
2019,ILLINOIS,WEST SOUTHWEST,60,BOND,51.7
2018,ILLINOIS,WEST SOUTHWEST,60,BOND,67
2017,ILLINOIS,WEST SOUTHWEST,60,BOND,54.5
2015,ILLINOIS,WEST SOUTHWEST,60,BOND,48.5
2014,ILLINOIS,WEST SOUTHWEST,60,BOND,50.2
2012,ILLINOIS,WEST SOUTHWEST,60,BOND,31
2011,ILLINOIS,WEST SOUTHWEST,60,BOND,35.8
2010,ILLINOIS,WEST SOUTHWEST,60,BOND,49.9
2009,ILLINOIS,WEST SOUTHWEST,60,BOND,37
2008,ILLINOIS,WEST SOUTHWEST,60,BOND,45
2007,ILLINOIS,WEST SOUTHWEST,60,BOND,25
2006,ILLINOIS,WEST SOUTHWEST,60,BOND,36
2005,ILLINOIS,WEST SOUTHWEST,60,BOND,38
2004,ILLINOIS,WEST SOUTHWEST,60,BOND,48
2003,ILLINOIS,WEST SOUTHWEST,60,BOND,32
2002,ILLINOIS,WEST SOUTHWEST,60,BOND,36
2001,ILLINOIS,WEST SOUTHWEST,60,BOND,37
2000,ILLINOIS,WEST SOUTHWEST,60,BOND,36
1999,ILLINOIS,WEST SOUTHWEST,60,BOND,32
1998,ILLINOIS,WEST SOUTHWEST,60,BOND,38
1997,ILLINOIS,WEST SOUTHWEST,60,BOND,33.5
1996,ILLINOIS,WEST SOUTHWEST,60,BOND,34
1995,ILLINOIS,WEST SOUTHWEST,60,BOND,28
1994,ILLINOIS,WEST SOUTHWEST,60,BOND,34
1993,ILLINOIS,WEST SOUTHWEST,60,BOND,38.5
1992,ILLINOIS,WEST SOUTHWEST,60,BOND,34.5
1991,ILLINOIS,WEST SOUTHWEST,60,BOND,26.5
1990,ILLINOIS,WEST SOUTHWEST,60,BOND,27
1989,ILLINOIS,WEST SOUTHWEST,60,BOND,37
1988,ILLINOIS,WEST SOUTHWEST,60,BOND,21.5
1987,ILLINOIS,WEST SOUTHWEST,60,BOND,27
1986,ILLINOIS,WEST SOUTHWEST,60,BOND,32.5
1985,ILLINOIS,WEST SOUTHWEST,60,BOND,32.5
1984,ILLINOIS,WEST SOUTHWEST,60,BOND,23.5
1983,ILLINOIS,WEST SOUTHWEST,60,BOND,15
1982,ILLINOIS,WEST SOUTHWEST,60,BOND,33
1981,ILLINOIS,WEST SOUTHWEST,60,BOND,34
1980,ILLINOIS,WEST SOUTHWEST,60,BOND,26
2022,ILLINOIS,NORTHEAST,20,BOONE,62.2
2021,ILLINOIS,NORTHEAST,20,BOONE,69.2
2020,ILLINOIS,NORTHEAST,20,BOONE,53
2019,ILLINOIS,NORTHEAST,20,BOONE,50
2018,ILLINOIS,NORTHEAST,20,BOONE,60.3
2017,ILLINOIS,NORTHEAST,20,BOONE,47.4
2016,ILLINOIS,NORTHEAST,20,BOONE,62.3
2015,ILLINOIS,NORTHEAST,20,BOONE,58.1
2014,ILLINOIS,NORTHEAST,20,BOONE,57.4
2013,ILLINOIS,NORTHEAST,20,BOONE,52.5
2012,ILLINOIS,NORTHEAST,20,BOONE,43.9
2011,ILLINOIS,NORTHEAST,20,BOONE,59.5
2010,ILLINOIS,NORTHEAST,20,BOONE,58.1
2009,ILLINOIS,NORTHEAST,20,BOONE,45
2008,ILLINOIS,NORTHEAST,20,BOONE,42
2007,ILLINOIS,NORTHEAST,20,BOONE,48
2006,ILLINOIS,NORTHEAST,20,BOONE,51
2005,ILLINOIS,NORTHEAST,20,BOONE,35
2004,ILLINOIS,NORTHEAST,20,BOONE,49
2003,ILLINOIS,NORTHEAST,20,BOONE,27
2002,ILLINOIS,NORTHEAST,20,BOONE,38
2001,ILLINOIS,NORTHEAST,20,BOONE,45
2000,ILLINOIS,NORTHEAST,20,BOONE,36
1999,ILLINOIS,NORTHEAST,20,BOONE,50
1998,ILLINOIS,NORTHEAST,20,BOONE,52.5
1997,ILLINOIS,NORTHEAST,20,BOONE,44.5
1996,ILLINOIS,NORTHEAST,20,BOONE,36
1995,ILLINOIS,NORTHEAST,20,BOONE,42.5
1994,ILLINOIS,NORTHEAST,20,BOONE,48.5
1993,ILLINOIS,NORTHEAST,20,BOONE,37
1992,ILLINOIS,NORTHEAST,20,BOONE,42
1991,ILLINOIS,NORTHEAST,20,BOONE,38
1990,ILLINOIS,NORTHEAST,20,BOONE,43
1989,ILLINOIS,NORTHEAST,20,BOONE,41
1988,ILLINOIS,NORTHEAST,20,BOONE,24.5
1987,ILLINOIS,NORTHEAST,20,BOONE,43
1986,ILLINOIS,NORTHEAST,20,BOONE,36.5
1985,ILLINOIS,NORTHEAST,20,BOONE,38.5
1984,ILLINOIS,NORTHEAST,20,BOONE,31.5
1983,ILLINOIS,NORTHEAST,20,BOONE,37
1982,ILLINOIS,NORTHEAST,20,BOONE,37
1981,ILLINOIS,NORTHEAST,20,BOONE,42
1980,ILLINOIS,NORTHEAST,20,BOONE,39
2022,ILLINOIS,WEST,30,BROWN,64.4
2021,ILLINOIS,WEST,30,BROWN,59.4
2020,ILLINOIS,WEST,30,BROWN,61.4
2019,ILLINOIS,WEST,30,BROWN,56.2
2018,ILLINOIS,WEST,30,BROWN,60.3
2017,ILLINOIS,WEST,30,BROWN,57.1
2016,ILLINOIS,WEST,30,BROWN,52
2015,ILLINOIS,WEST,30,BROWN,49
2014,ILLINOIS,WEST,30,BROWN,51
2013,ILLINOIS,WEST,30,BROWN,48.1
2012,ILLINOIS,WEST,30,BROWN,37.4
2011,ILLINOIS,WEST,30,BROWN,38.8
2010,ILLINOIS,WEST,30,BROWN,48.1
2009,ILLINOIS,WEST,30,BROWN,46
2008,ILLINOIS,WEST,30,BROWN,37
2007,ILLINOIS,WEST,30,BROWN,35
2006,ILLINOIS,WEST,30,BROWN,45
2005,ILLINOIS,WEST,30,BROWN,44
2004,ILLINOIS,WEST,30,BROWN,47
2003,ILLINOIS,WEST,30,BROWN,41
2002,ILLINOIS,WEST,30,BROWN,45
2001,ILLINOIS,WEST,30,BROWN,41
2000,ILLINOIS,WEST,30,BROWN,46
1999,ILLINOIS,WEST,30,BROWN,44
1998,ILLINOIS,WEST,30,BROWN,45
1997,ILLINOIS,WEST,30,BROWN,43
1996,ILLINOIS,WEST,30,BROWN,40
1995,ILLINOIS,WEST,30,BROWN,37
1994,ILLINOIS,WEST,30,BROWN,43.5
1993,ILLINOIS,WEST,30,BROWN,42.5
1992,ILLINOIS,WEST,30,BROWN,42
1991,ILLINOIS,WEST,30,BROWN,37
1990,ILLINOIS,WEST,30,BROWN,33.5
1989,ILLINOIS,WEST,30,BROWN,36.5
1988,ILLINOIS,WEST,30,BROWN,28.5
1987,ILLINOIS,WEST,30,BROWN,33
1986,ILLINOIS,WEST,30,BROWN,37
1985,ILLINOIS,WEST,30,BROWN,35
1984,ILLINOIS,WEST,30,BROWN,31.5
1983,ILLINOIS,WEST,30,BROWN,19.5
1982,ILLINOIS,WEST,30,BROWN,35.5
1981,ILLINOIS,WEST,30,BROWN,35.5
1980,ILLINOIS,WEST,30,BROWN,29.5
2022,ILLINOIS,NORTHWEST,10,BUREAU,67.5
2021,ILLINOIS,NORTHWEST,10,BUREAU,66.4
2020,ILLINOIS,NORTHWEST,10,BUREAU,64.8
2019,ILLINOIS,NORTHWEST,10,BUREAU,57.4
2018,ILLINOIS,NORTHWEST,10,BUREAU,68.5
2017,ILLINOIS,NORTHWEST,10,BUREAU,59.1
2016,ILLINOIS,NORTHWEST,10,BUREAU,64.2
2015,ILLINOIS,NORTHWEST,10,BUREAU,60.2
2014,ILLINOIS,NORTHWEST,10,BUREAU,59.9
2013,ILLINOIS,NORTHWEST,10,BUREAU,56.3
2012,ILLINOIS,NORTHWEST,10,BUREAU,55
2011,ILLINOIS,NORTHWEST,10,BUREAU,58.1
2010,ILLINOIS,NORTHWEST,10,BUREAU,55
2009,ILLINOIS,NORTHWEST,10,BUREAU,44
2008,ILLINOIS,NORTHWEST,10,BUREAU,49
2007,ILLINOIS,NORTHWEST,10,BUREAU,51
2006,ILLINOIS,NORTHWEST,10,BUREAU,53
2005,ILLINOIS,NORTHWEST,10,BUREAU,48
2004,ILLINOIS,NORTHWEST,10,BUREAU,51
2003,ILLINOIS,NORTHWEST,10,BUREAU,37
2002,ILLINOIS,NORTHWEST,10,BUREAU,49
2001,ILLINOIS,NORTHWEST,10,BUREAU,49
2000,ILLINOIS,NORTHWEST,10,BUREAU,48
1999,ILLINOIS,NORTHWEST,10,BUREAU,45
1998,ILLINOIS,NORTHWEST,10,BUREAU,52.5
1997,ILLINOIS,NORTHWEST,10,BUREAU,48.5
1996,ILLINOIS,NORTHWEST,10,BUREAU,46.5
1995,ILLINOIS,NORTHWEST,10,BUREAU,43.5
1994,ILLINOIS,NORTHWEST,10,BUREAU,51.5
1993,ILLINOIS,NORTHWEST,10,BUREAU,46.5
1992,ILLINOIS,NORTHWEST,10,BUREAU,43
1991,ILLINOIS,NORTHWEST,10,BUREAU,44.5
1990,ILLINOIS,NORTHWEST,10,BUREAU,41.5
1989,ILLINOIS,NORTHWEST,10,BUREAU,42.5
1988,ILLINOIS,NORTHWEST,10,BUREAU,28.5
1987,ILLINOIS,NORTHWEST,10,BUREAU,46
1986,ILLINOIS,NORTHWEST,10,BUREAU,43.5
1985,ILLINOIS,NORTHWEST,10,BUREAU,45
1984,ILLINOIS,NORTHWEST,10,BUREAU,40
1983,ILLINOIS,NORTHWEST,10,BUREAU,42
1982,ILLINOIS,NORTHWEST,10,BUREAU,42
1981,ILLINOIS,NORTHWEST,10,BUREAU,45
1980,ILLINOIS,NORTHWEST,10,BUREAU,39.5
2022,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,57.8
2020,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,54.1
2019,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,46.9
2018,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,58.6
2017,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,53.6
2015,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,55.2
2014,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,47.4
2012,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,41.4
2011,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,43.6
2010,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,50.3
2009,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,44
2008,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,45
2007,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,37
2006,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,44
2005,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,41
2004,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,51
2003,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,40
2002,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,41
2001,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,42
2000,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,42
1999,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,38
1998,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,39
1997,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,41
1996,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,40
1995,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,37
1994,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,43
1993,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,40
1992,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,39.5
1991,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,40
1990,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,36.5
1989,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,36
1988,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,31
1987,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,35
1986,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,38
1985,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,37
1984,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,25
1983,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,27.5
1982,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,37
1981,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,36
1980,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,27
2022,ILLINOIS,NORTHWEST,10,CARROLL,68.9
2021,ILLINOIS,NORTHWEST,10,CARROLL,68.6
2020,ILLINOIS,NORTHWEST,10,CARROLL,68.1
2019,ILLINOIS,NORTHWEST,10,CARROLL,64.7
2018,ILLINOIS,NORTHWEST,10,CARROLL,68.9
2017,ILLINOIS,NORTHWEST,10,CARROLL,64.3
2016,ILLINOIS,NORTHWEST,10,CARROLL,69
2015,ILLINOIS,NORTHWEST,10,CARROLL,63.6
2014,ILLINOIS,NORTHWEST,10,CARROLL,60.4
2013,ILLINOIS,NORTHWEST,10,CARROLL,57.9
2012,ILLINOIS,NORTHWEST,10,CARROLL,59
2011,ILLINOIS,NORTHWEST,10,CARROLL,63.7
2010,ILLINOIS,NORTHWEST,10,CARROLL,58.9
2009,ILLINOIS,NORTHWEST,10,CARROLL,55
2008,ILLINOIS,NORTHWEST,10,CARROLL,49
2007,ILLINOIS,NORTHWEST,10,CARROLL,51
2006,ILLINOIS,NORTHWEST,10,CARROLL,58
2005,ILLINOIS,NORTHWEST,10,CARROLL,57
2004,ILLINOIS,NORTHWEST,10,CARROLL,56
2003,ILLINOIS,NORTHWEST,10,CARROLL,35
2002,ILLINOIS,NORTHWEST,10,CARROLL,57
2001,ILLINOIS,NORTHWEST,10,CARROLL,55
2000,ILLINOIS,NORTHWEST,10,CARROLL,49
1999,ILLINOIS,NORTHWEST,10,CARROLL,54
1998,ILLINOIS,NORTHWEST,10,CARROLL,56
1997,ILLINOIS,NORTHWEST,10,CARROLL,50.5
1996,ILLINOIS,NORTHWEST,10,CARROLL,48
1995,ILLINOIS,NORTHWEST,10,CARROLL,51.5
1994,ILLINOIS,NORTHWEST,10,CARROLL,54.5
1993,ILLINOIS,NORTHWEST,10,CARROLL,41.5
1992,ILLINOIS,NORTHWEST,10,CARROLL,43.5
1991,ILLINOIS,NORTHWEST,10,CARROLL,52.5
1990,ILLINOIS,NORTHWEST,10,CARROLL,48.5
1989,ILLINOIS,NORTHWEST,10,CARROLL,46
1988,ILLINOIS,NORTHWEST,10,CARROLL,31
1987,ILLINOIS,NORTHWEST,10,CARROLL,47
1986,ILLINOIS,NORTHWEST,10,CARROLL,42
1985,ILLINOIS,NORTHWEST,10,CARROLL,44.5
1984,ILLINOIS,NORTHWEST,10,CARROLL,33.5
1983,ILLINOIS,NORTHWEST,10,CARROLL,37.5
1982,ILLINOIS,NORTHWEST,10,CARROLL,39.5
1981,ILLINOIS,NORTHWEST,10,CARROLL,41.5
1980,ILLINOIS,NORTHWEST,10,CARROLL,37
2022,ILLINOIS,WEST SOUTHWEST,60,CASS,64.6
2021,ILLINOIS,WEST SOUTHWEST,60,CASS,68.4
2020,ILLINOIS,WEST SOUTHWEST,60,CASS,63
2018,ILLINOIS,WEST SOUTHWEST,60,CASS,71.9
2017,ILLINOIS,WEST SOUTHWEST,60,CASS,62.9
2016,ILLINOIS,WEST SOUTHWEST,60,CASS,62.4
2015,ILLINOIS,WEST SOUTHWEST,60,CASS,60
2014,ILLINOIS,WEST SOUTHWEST,60,CASS,53.5
2013,ILLINOIS,WEST SOUTHWEST,60,CASS,52.6
2012,ILLINOIS,WEST SOUTHWEST,60,CASS,39.5
2011,ILLINOIS,WEST SOUTHWEST,60,CASS,50.4
2010,ILLINOIS,WEST SOUTHWEST,60,CASS,53.3
2009,ILLINOIS,WEST SOUTHWEST,60,CASS,51
2008,ILLINOIS,WEST SOUTHWEST,60,CASS,49
2007,ILLINOIS,WEST SOUTHWEST,60,CASS,43
2006,ILLINOIS,WEST SOUTHWEST,60,CASS,47
2005,ILLINOIS,WEST SOUTHWEST,60,CASS,46
2004,ILLINOIS,WEST SOUTHWEST,60,CASS,51
2003,ILLINOIS,WEST SOUTHWEST,60,CASS,45
2002,ILLINOIS,WEST SOUTHWEST,60,CASS,48
2001,ILLINOIS,WEST SOUTHWEST,60,CASS,48
2000,ILLINOIS,WEST SOUTHWEST,60,CASS,43
1999,ILLINOIS,WEST SOUTHWEST,60,CASS,46
1998,ILLINOIS,WEST SOUTHWEST,60,CASS,45
1997,ILLINOIS,WEST SOUTHWEST,60,CASS,40
1996,ILLINOIS,WEST SOUTHWEST,60,CASS,39
1995,ILLINOIS,WEST SOUTHWEST,60,CASS,39.5
1994,ILLINOIS,WEST SOUTHWEST,60,CASS,46.5
1993,ILLINOIS,WEST SOUTHWEST,60,CASS,43.5
1992,ILLINOIS,WEST SOUTHWEST,60,CASS,43.5
1991,ILLINOIS,WEST SOUTHWEST,60,CASS,41
1990,ILLINOIS,WEST SOUTHWEST,60,CASS,37
1989,ILLINOIS,WEST SOUTHWEST,60,CASS,42.5
1988,ILLINOIS,WEST SOUTHWEST,60,CASS,30
1987,ILLINOIS,WEST SOUTHWEST,60,CASS,35
1986,ILLINOIS,WEST SOUTHWEST,60,CASS,44
1985,ILLINOIS,WEST SOUTHWEST,60,CASS,44
1984,ILLINOIS,WEST SOUTHWEST,60,CASS,35
1983,ILLINOIS,WEST SOUTHWEST,60,CASS,26.5
1982,ILLINOIS,WEST SOUTHWEST,60,CASS,41
1981,ILLINOIS,WEST SOUTHWEST,60,CASS,40.5
1980,ILLINOIS,WEST SOUTHWEST,60,CASS,36
2022,ILLINOIS,EAST,50,CHAMPAIGN,69.4
2021,ILLINOIS,EAST,50,CHAMPAIGN,75.3
2020,ILLINOIS,EAST,50,CHAMPAIGN,66.1
2019,ILLINOIS,EAST,50,CHAMPAIGN,52.8
2018,ILLINOIS,EAST,50,CHAMPAIGN,67.9
2017,ILLINOIS,EAST,50,CHAMPAIGN,64.3
2016,ILLINOIS,EAST,50,CHAMPAIGN,67.7
2015,ILLINOIS,EAST,50,CHAMPAIGN,64
2014,ILLINOIS,EAST,50,CHAMPAIGN,63.8
2013,ILLINOIS,EAST,50,CHAMPAIGN,53.6
2012,ILLINOIS,EAST,50,CHAMPAIGN,47.1
2011,ILLINOIS,EAST,50,CHAMPAIGN,51.6
2010,ILLINOIS,EAST,50,CHAMPAIGN,56.2
2009,ILLINOIS,EAST,50,CHAMPAIGN,56
2008,ILLINOIS,EAST,50,CHAMPAIGN,50
2007,ILLINOIS,EAST,50,CHAMPAIGN,55
2006,ILLINOIS,EAST,50,CHAMPAIGN,55
2005,ILLINOIS,EAST,50,CHAMPAIGN,54
2004,ILLINOIS,EAST,50,CHAMPAIGN,53
2003,ILLINOIS,EAST,50,CHAMPAIGN,38
2002,ILLINOIS,EAST,50,CHAMPAIGN,54
2001,ILLINOIS,EAST,50,CHAMPAIGN,46
2000,ILLINOIS,EAST,50,CHAMPAIGN,47
