Year,State,Ag District,Ag District Code,County,Value
2022,ILLINOIS,NORTHWEST,10,BUREAU,67.5
2022,ILLINOIS,NORTHWEST,10,CARROLL,68.9
2022,ILLINOIS,NORTHWEST,10,HENRY,66.8
2022,ILLINOIS,NORTHWEST,10,JO DAVIESS,62.6
2022,ILLINOIS,NORTHWEST,10,LEE,66.8
2022,ILLINOIS,NORTHWEST,10,MERCER,65
2022,ILLINOIS,NORTHWEST,10,OGLE,67.6
2022,ILLINOIS,NORTHWEST,10,PUTNAM,64.6
2022,ILLINOIS,NORTHWEST,10,ROCK ISLAND,66.3
2022,ILLINOIS,NORTHWEST,10,STEPHENSON,62.3
2022,ILLINOIS,NORTHWEST,10,WHITESIDE,66.4
2022,ILLINOIS,NORTHWEST,10,WINNEBAGO,62.8
2022,ILLINOIS,NORTHEAST,20,BOONE,62.2
2022,ILLINOIS,NORTHEAST,20,DE KALB,64.9
2022,ILLINOIS,NORTHEAST,20,GRUNDY,63.1
2022,ILLINOIS,NORTHEAST,20,KANE,64.4
2022,ILLINOIS,NORTHEAST,20,LA SALLE,65.7
2022,ILLINOIS,NORTHEAST,20,LAKE,57.3
2022,ILLINOIS,NORTHEAST,20,WILL,57.2
2022,ILLINOIS,WEST,30,ADAMS,61.2
2022,ILLINOIS,WEST,30,BROWN,64.4
2022,ILLINOIS,WEST,30,FULTON,62.5
2022,ILLINOIS,WEST,30,HANCOCK,67.6
2022,ILLINOIS,WEST,30,HENDERSON,67.2
2022,ILLINOIS,WEST,30,KNOX,67
2022,ILLINOIS,WEST,30,MCDONOUGH,66.3
2022,ILLINOIS,WEST,30,SCHUYLER,63.1
2022,ILLINOIS,WEST,30,WARREN,64.5
2022,ILLINOIS,CENTRAL,40,DE WITT,68
2022,ILLINOIS,CENTRAL,40,LOGAN,71.8
2022,ILLINOIS,CENTRAL,40,MACON,73.8
2022,ILLINOIS,CENTRAL,40,MARSHALL,64.1
2022,ILLINOIS,CENTRAL,40,MASON,62.6
2022,ILLINOIS,CENTRAL,40,MCLEAN,68.8
2022,ILLINOIS,CENTRAL,40,MENARD,67.9
2022,ILLINOIS,CENTRAL,40,PEORIA,64
2022,ILLINOIS,CENTRAL,40,STARK,70.8
2022,ILLINOIS,CENTRAL,40,TAZEWELL,71
2022,ILLINOIS,CENTRAL,40,WOODFORD,69.1
2022,ILLINOIS,EAST,50,CHAMPAIGN,69.4
2022,ILLINOIS,EAST,50,FORD,66.7
2022,ILLINOIS,EAST,50,IROQUOIS,63.8
2022,ILLINOIS,EAST,50,KANKAKEE,59.7
2022,ILLINOIS,EAST,50,LIVINGSTON,63.5
2022,ILLINOIS,EAST,50,PIATT,74.2
2022,ILLINOIS,EAST,50,VERMILION,67.6
2022,ILLINOIS,WEST SOUTHWEST,60,BOND,58.6
2022,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,57.8
2022,ILLINOIS,WEST SOUTHWEST,60,CASS,64.6
2022,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,69.5
2022,ILLINOIS,WEST SOUTHWEST,60,GREENE,66.6
2022,ILLINOIS,WEST SOUTHWEST,60,JERSEY,63.2
2022,ILLINOIS,WEST SOUTHWEST,60,MACOUPIN,65.1
2022,ILLINOIS,WEST SOUTHWEST,60,MADISON,59.6
2022,ILLINOIS,WEST SOUTHWEST,60,MONTGOMERY,68.6
2022,ILLINOIS,WEST SOUTHWEST,60,MORGAN,70
2022,ILLINOIS,WEST SOUTHWEST,60,SANGAMON,72.7
2022,ILLINOIS,WEST SOUTHWEST,60,SCOTT,72.1
2022,ILLINOIS,EAST SOUTHEAST,70,CLARK,61.3
2022,ILLINOIS,EAST SOUTHEAST,70,CLAY,57.3
2022,ILLINOIS,EAST SOUTHEAST,70,CRAWFORD,61.8
2022,ILLINOIS,EAST SOUTHEAST,70,CUMBERLAND,67.2
2022,ILLINOIS,EAST SOUTHEAST,70,DOUGLAS,69
2022,ILLINOIS,EAST SOUTHEAST,70,EDGAR,67.9
2022,ILLINOIS,EAST SOUTHEAST,70,EFFINGHAM,59.9
2022,ILLINOIS,EAST SOUTHEAST,70,JASPER,55.8
2022,ILLINOIS,EAST SOUTHEAST,70,LAWRENCE,58
2022,ILLINOIS,EAST SOUTHEAST,70,MARION,54.3
2022,ILLINOIS,EAST SOUTHEAST,70,MOULTRIE,65.7
2022,ILLINOIS,EAST SOUTHEAST,70,RICHLAND,56.1
2022,ILLINOIS,EAST SOUTHEAST,70,SHELBY,67.1
2022,ILLINOIS,SOUTHWEST,80,ALEXANDER,51.3
2022,ILLINOIS,SOUTHWEST,80,CLINTON,54.6
2022,ILLINOIS,SOUTHWEST,80,JACKSON,51.1
2022,ILLINOIS,SOUTHWEST,80,JOHNSON,45.1
2022,ILLINOIS,SOUTHWEST,80,MONROE,53.1
2022,ILLINOIS,SOUTHWEST,80,PERRY,43.4
2022,ILLINOIS,SOUTHWEST,80,PULASKI,53.5
2022,ILLINOIS,SOUTHWEST,80,RANDOLPH,50.3
2022,ILLINOIS,SOUTHWEST,80,ST CLAIR,53.6
2022,ILLINOIS,SOUTHWEST,80,UNION,48
2022,ILLINOIS,SOUTHWEST,80,WASHINGTON,50.5
2022,ILLINOIS,SOUTHWEST,80,WILLIAMSON,45.9
2022,ILLINOIS,SOUTHEAST,90,EDWARDS,53.5
2022,ILLINOIS,SOUTHEAST,90,FRANKLIN,47
2022,ILLINOIS,SOUTHEAST,90,GALLATIN,55.3
2022,ILLINOIS,SOUTHEAST,90,HAMILTON,50.2
2022,ILLINOIS,SOUTHEAST,90,JEFFERSON,48.1
2022,ILLINOIS,SOUTHEAST,90,MASSAC,50
2022,ILLINOIS,SOUTHEAST,90,SALINE,52.8
2022,ILLINOIS,SOUTHEAST,90,WABASH,58.1
2022,ILLINOIS,SOUTHEAST,90,WAYNE,56.4
2022,ILLINOIS,SOUTHEAST,90,WHITE,54.5
2021,ILLINOIS,NORTHWEST,10,BUREAU,66.4
2021,ILLINOIS,NORTHWEST,10,CARROLL,68.6
2021,ILLINOIS,NORTHWEST,10,HENRY,68.1
2021,ILLINOIS,NORTHWEST,10,JO DAVIESS,58.7
2021,ILLINOIS,NORTHWEST,10,LEE,67.6
2021,ILLINOIS,NORTHWEST,10,OGLE,61.8
2021,ILLINOIS,NORTHWEST,10,PUTNAM,62.2
2021,ILLINOIS,NORTHWEST,10,ROCK ISLAND,64.6
2021,ILLINOIS,NORTHWEST,10,STEPHENSON,64.5
2021,ILLINOIS,NORTHWEST,10,WHITESIDE,67
2021,ILLINOIS,NORTHWEST,10,WINNEBAGO,56.9
2021,ILLINOIS,NORTHEAST,20,BOONE,69.2
2021,ILLINOIS,NORTHEAST,20,COOK,45.8
2021,ILLINOIS,NORTHEAST,20,DE KALB,63.9
2021,ILLINOIS,NORTHEAST,20,GRUNDY,59.5
2021,ILLINOIS,NORTHEAST,20,KANE,67.7
2021,ILLINOIS,NORTHEAST,20,KENDALL,66.3
2021,ILLINOIS,NORTHEAST,20,LAKE,50.3
2021,ILLINOIS,NORTHEAST,20,WILL,58.4
2021,ILLINOIS,WEST,30,BROWN,59.4
2021,ILLINOIS,WEST,30,FULTON,65.5
2021,ILLINOIS,WEST,30,HANCOCK,67.3
2021,ILLINOIS,WEST,30,HENDERSON,66.6
2021,ILLINOIS,WEST,30,KNOX,68.4
2021,ILLINOIS,WEST,30,SCHUYLER,63.2
2021,ILLINOIS,CENTRAL,40,DE WITT,70.7
2021,ILLINOIS,CENTRAL,40,MACON,74.4
2021,ILLINOIS,CENTRAL,40,MASON,64.7
2021,ILLINOIS,CENTRAL,40,MCLEAN,67.4
2021,ILLINOIS,CENTRAL,40,MENARD,66.4
2021,ILLINOIS,CENTRAL,40,PEORIA,69.7
2021,ILLINOIS,CENTRAL,40,STARK,70.1
2021,ILLINOIS,CENTRAL,40,TAZEWELL,70.8
2021,ILLINOIS,CENTRAL,40,WOODFORD,68.1
2021,ILLINOIS,EAST,50,CHAMPAIGN,75.3
2021,ILLINOIS,EAST,50,FORD,66.7
2021,ILLINOIS,EAST,50,IROQUOIS,57.9
2021,ILLINOIS,EAST,50,KANKAKEE,61.7
2021,ILLINOIS,EAST,50,LIVINGSTON,66
2021,ILLINOIS,EAST,50,PIATT,77.3
2021,ILLINOIS,EAST,50,VERMILION,67.4
2021,ILLINOIS,WEST SOUTHWEST,60,BOND,65
2021,ILLINOIS,WEST SOUTHWEST,60,CASS,68.4
2021,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,71.2
2021,ILLINOIS,WEST SOUTHWEST,60,MACOUPIN,70.8
2021,ILLINOIS,WEST SOUTHWEST,60,MADISON,61
2021,ILLINOIS,WEST SOUTHWEST,60,SANGAMON,72.1
2021,ILLINOIS,WEST SOUTHWEST,60,SCOTT,64.9
2021,ILLINOIS,EAST SOUTHEAST,70,CLARK,65.5
2021,ILLINOIS,EAST SOUTHEAST,70,CLAY,59.2
2021,ILLINOIS,EAST SOUTHEAST,70,CRAWFORD,65
2021,ILLINOIS,EAST SOUTHEAST,70,EDGAR,70.8
2021,ILLINOIS,EAST SOUTHEAST,70,EFFINGHAM,64.7
2021,ILLINOIS,EAST SOUTHEAST,70,FAYETTE,63.5
2021,ILLINOIS,EAST SOUTHEAST,70,LAWRENCE,60.4
2021,ILLINOIS,EAST SOUTHEAST,70,MARION,60.1
2021,ILLINOIS,EAST SOUTHEAST,70,MOULTRIE,72.4
2021,ILLINOIS,EAST SOUTHEAST,70,SHELBY,67.3
2021,ILLINOIS,SOUTHWEST,80,ALEXANDER,58.5
2021,ILLINOIS,SOUTHWEST,80,CLINTON,63.6
2021,ILLINOIS,SOUTHWEST,80,JACKSON,49.9
2021,ILLINOIS,SOUTHWEST,80,JOHNSON,43.8
2021,ILLINOIS,SOUTHWEST,80,MONROE,56.3
2021,ILLINOIS,SOUTHWEST,80,PERRY,53.2
2021,ILLINOIS,SOUTHWEST,80,PULASKI,56.8
2021,ILLINOIS,SOUTHWEST,80,RANDOLPH,55.3
2021,ILLINOIS,SOUTHWEST,80,ST CLAIR,59.6
2021,ILLINOIS,SOUTHWEST,80,UNION,44.5
2021,ILLINOIS,SOUTHWEST,80,WASHINGTON,58.7
2021,ILLINOIS,SOUTHEAST,90,EDWARDS,63.1
2021,ILLINOIS,SOUTHEAST,90,FRANKLIN,53.3
2021,ILLINOIS,SOUTHEAST,90,GALLATIN,62.5
2021,ILLINOIS,SOUTHEAST,90,HARDIN,50.6
2021,ILLINOIS,SOUTHEAST,90,JEFFERSON,47.7
2021,ILLINOIS,SOUTHEAST,90,MASSAC,52.5
2021,ILLINOIS,SOUTHEAST,90,SALINE,59.2
2021,ILLINOIS,SOUTHEAST,90,WABASH,60.8
2021,ILLINOIS,SOUTHEAST,90,WHITE,63.4
2020,ILLINOIS,NORTHWEST,10,BUREAU,64.8
2020,ILLINOIS,NORTHWEST,10,CARROLL,68.1
2020,ILLINOIS,NORTHWEST,10,HENRY,62.3
2020,ILLINOIS,NORTHWEST,10,JO DAVIESS,59.1
2020,ILLINOIS,NORTHWEST,10,LEE,64.7
2020,ILLINOIS,NORTHWEST,10,MERCER,59.4
2020,ILLINOIS,NORTHWEST,10,OGLE,61.9
2020,ILLINOIS,NORTHWEST,10,PUTNAM,61.8
2020,ILLINOIS,NORTHWEST,10,ROCK ISLAND,61.3
2020,ILLINOIS,NORTHWEST,10,STEPHENSON,64.1
2020,ILLINOIS,NORTHWEST,10,WINNEBAGO,56.7
2020,ILLINOIS,NORTHEAST,20,BOONE,53
2020,ILLINOIS,NORTHEAST,20,DE KALB,59
2020,ILLINOIS,NORTHEAST,20,GRUNDY,56.2
2020,ILLINOIS,NORTHEAST,20,KANE,56
2020,ILLINOIS,NORTHEAST,20,KENDALL,57.5
2020,ILLINOIS,NORTHEAST,20,LA SALLE,59.3
2020,ILLINOIS,NORTHEAST,20,LAKE,51.8
2020,ILLINOIS,NORTHEAST,20,MCHENRY,52.5
2020,ILLINOIS,NORTHEAST,20,WILL,54.5
2020,ILLINOIS,WEST,30,ADAMS,54.8
2020,ILLINOIS,WEST,30,BROWN,61.4
2020,ILLINOIS,WEST,30,FULTON,58.4
2020,ILLINOIS,WEST,30,HANCOCK,66.6
2020,ILLINOIS,WEST,30,HENDERSON,62.1
2020,ILLINOIS,WEST,30,KNOX,63.9
2020,ILLINOIS,WEST,30,MCDONOUGH,65.1
2020,ILLINOIS,WEST,30,SCHUYLER,58.1
2020,ILLINOIS,WEST,30,WARREN,66.6
2020,ILLINOIS,CENTRAL,40,DE WITT,66.4
2020,ILLINOIS,CENTRAL,40,LOGAN,68.7
2020,ILLINOIS,CENTRAL,40,MACON,66.2
2020,ILLINOIS,CENTRAL,40,MARSHALL,63.1
2020,ILLINOIS,CENTRAL,40,MASON,61.2
2020,ILLINOIS,CENTRAL,40,MCLEAN,63.9
2020,ILLINOIS,CENTRAL,40,MENARD,67.3
2020,ILLINOIS,CENTRAL,40,PEORIA,65.2
2020,ILLINOIS,CENTRAL,40,STARK,63
2020,ILLINOIS,CENTRAL,40,TAZEWELL,63.8
2020,ILLINOIS,CENTRAL,40,WOODFORD,63.3
2020,ILLINOIS,EAST,50,CHAMPAIGN,66.1
2020,ILLINOIS,EAST,50,FORD,56.3
2020,ILLINOIS,EAST,50,IROQUOIS,60
2020,ILLINOIS,EAST,50,KANKAKEE,54.8
2020,ILLINOIS,EAST,50,LIVINGSTON,56
2020,ILLINOIS,EAST,50,PIATT,71.7
2020,ILLINOIS,EAST,50,VERMILION,61.8
2020,ILLINOIS,WEST SOUTHWEST,60,BOND,59
2020,ILLINOIS,WEST SOUTHWEST,60,CALHOUN,54.1
2020,ILLINOIS,WEST SOUTHWEST,60,CASS,63
2020,ILLINOIS,WEST SOUTHWEST,60,CHRISTIAN,65.9
2020,ILLINOIS,WEST SOUTHWEST,60,GREENE,65.2
2020,ILLINOIS,WEST SOUTHWEST,60,JERSEY,65.3
2020,ILLINOIS,WEST SOUTHWEST,60,MACOUPIN,67.4
2020,ILLINOIS,WEST SOUTHWEST,60,MADISON,58.5
2020,ILLINOIS,WEST SOUTHWEST,60,MONTGOMERY,63.2
2020,ILLINOIS,WEST SOUTHWEST,60,MORGAN,62.9
2020,ILLINOIS,WEST SOUTHWEST,60,PIKE,62.1
2020,ILLINOIS,WEST SOUTHWEST,60,SANGAMON,68.8
2020,ILLINOIS,WEST SOUTHWEST,60,SCOTT,65.1
2020,ILLINOIS,EAST SOUTHEAST,70,CLARK,58.4
2020,ILLINOIS,EAST SOUTHEAST,70,CLAY,52.4
2020,ILLINOIS,EAST SOUTHEAST,70,COLES,66.6
2020,ILLINOIS,EAST SOUTHEAST,70,CRAWFORD,56.3
2020,ILLINOIS,EAST SOUTHEAST,70,CUMBERLAND,56.5
2020,ILLINOIS,EAST SOUTHEAST,70,DOUGLAS,67.1
2020,ILLINOIS,EAST SOUTHEAST,70,EDGAR,61
2020,ILLINOIS,EAST SOUTHEAST,70,EFFINGHAM,57.9
2020,ILLINOIS,EAST SOUTHEAST,70,FAYETTE,54.4
2020,ILLINOIS,EAST SOUTHEAST,70,JASPER,54.5
2020,ILLINOIS,EAST SOUTHEAST,70,LAWRENCE,57.9
2020,ILLINOIS,EAST SOUTHEAST,70,MARION,54.9
2020,ILLINOIS,EAST SOUTHEAST,70,MOULTRIE,65
2020,ILLINOIS,EAST SOUTHEAST,70,RICHLAND,54
2020,ILLINOIS,EAST SOUTHEAST,70,SHELBY,60.4
2020,ILLINOIS,SOUTHWEST,80,ALEXANDER,48.7
2020,ILLINOIS,SOUTHWEST,80,CLINTON,52.5
2020,ILLINOIS,SOUTHWEST,80,JACKSON,52.2
2020,ILLINOIS,SOUTHWEST,80,JOHNSON,45.8
2020,ILLINOIS,SOUTHWEST,80,MONROE,55.7
2020,ILLINOIS,SOUTHWEST,80,PERRY,48.2
2020,ILLINOIS,SOUTHWEST,80,PULASKI,54.8
2020,ILLINOIS,SOUTHWEST,80,RANDOLPH,53.4
2020,ILLINOIS,SOUTHWEST,80,ST CLAIR,52.7
2020,ILLINOIS,SOUTHWEST,80,UNION,50.2
2020,ILLINOIS,SOUTHWEST,80,WASHINGTON,51.8
2020,ILLINOIS,SOUTHWEST,80,WILLIAMSON,52.8
2020,ILLINOIS,SOUTHEAST,90,EDWARDS,54.7
2020,ILLINOIS,SOUTHEAST,90,FRANKLIN,51.2
2020,ILLINOIS,SOUTHEAST,90,GALLATIN,57.6
2020,ILLINOIS,SOUTHEAST,90,HAMILTON,51.8
2020,ILLINOIS,SOUTHEAST,90,HARDIN,50.8
2020,ILLINOIS,SOUTHEAST,90,JEFFERSON,47.6
2020,ILLINOIS,SOUTHEAST,90,MASSAC,51.6
2020,ILLINOIS,SOUTHEAST,90,POPE,53.1
2020,ILLINOIS,SOUTHEAST,90,SALINE,59
2020,ILLINOIS,SOUTHEAST,90,WABASH,54.5
2020,ILLINOIS,SOUTHEAST,90,WAYNE,52
2020,ILLINOIS,SOUTHEAST,90,WHITE,55
2019,ILLINOIS,NORTHWEST,10,BUREAU,57.4
2019,ILLINOIS,NORTHWEST,10,CARROLL,64.7
2019,ILLINOIS,NORTHWEST,10,HENRY,52.6
2019,ILLINOIS,NORTHWEST,10,JO DAVIESS,55.6
2019,ILLINOIS,NORTHWEST,10,LEE,59.7
2019,ILLINOIS,NORTHWEST,10,MERCER,51.9
2019,ILLINOIS,NORTHWEST,10,OGLE,59.9
2019,ILLINOIS,NORTHWEST,10,OTHER (COMBINED) COUNTIES,55.3
2019,ILLINOIS,NORTHWEST,10,STEPHENSON,56.4
2019,ILLINOIS,NORTHWEST,10,WINNEBAGO,55.8
2019,ILLINOIS,NORTHEAST,20,BOONE,50
2019,ILLINOIS,NORTHEAST,20,DE KALB,55.6
2019,ILLINOIS,NORTHEAST,20,GRUNDY,49
2019,ILLINOIS,NORTHEAST,20,KANE,50.3
