Year,State,Ag District,Ag District Code,County,Value
2018,IOWA,WEST CENTRAL,40,AUDUBON,52.3
2018,IOWA,WEST CENTRAL,40,CALHOUN,53.1
2018,IOWA,WEST CENTRAL,40,CARROLL,59
2018,IOWA,WEST CENTRAL,40,CRAWFORD,61.7
2018,IOWA,WEST CENTRAL,40,GREENE,55.5
2018,IOWA,WEST CENTRAL,40,GUTHRIE,52
2018,IOWA,WEST CENTRAL,40,HARRISON,52.6
2018,IOWA,WEST CENTRAL,40,IDA,63.8
2018,IOWA,WEST CENTRAL,40,MONONA,55.3
2018,IOWA,WEST CENTRAL,40,SAC,60.7
2018,IOWA,WEST CENTRAL,40,SHELBY,57.8
2018,IOWA,WEST CENTRAL,40,WOODBURY,59.5
2018,IOWA,SOUTHWEST,70,ADAIR,50.1
2018,IOWA,SOUTHWEST,70,ADAMS,53.2
2018,IOWA,SOUTHWEST,70,CASS,52.6
2018,IOWA,SOUTHWEST,70,FREMONT,50.6
2018,IOWA,SOUTHWEST,70,MONTGOMERY,51.8
2018,IOWA,SOUTHWEST,70,OTHER (COMBINED) COUNTIES,52.1
2018,IOWA,SOUTHWEST,70,PAGE,50.5
2018,IOWA,SOUTHEAST,90,DAVIS,50.2
2018,IOWA,SOUTHEAST,90,DES MOINES,63.8
2018,IOWA,SOUTHEAST,90,HENRY,62.3
2018,IOWA,SOUTHEAST,90,JEFFERSON,62
2018,IOWA,SOUTHEAST,90,KEOKUK,57.7
2018,IOWA,SOUTHEAST,90,LEE,64.7
2018,IOWA,SOUTHEAST,90,LOUISA,58.1
2018,IOWA,SOUTHEAST,90,MAHASKA,59.7
2018,IOWA,SOUTHEAST,90,VAN BUREN,54.2
2018,IOWA,SOUTHEAST,90,WAPELLO,60.2
2018,IOWA,SOUTHEAST,90,WASHINGTON,61.5
2018,IOWA,SOUTH CENTRAL,80,APPANOOSE,45.1
2018,IOWA,SOUTH CENTRAL,80,CLARKE,47.9
2018,IOWA,SOUTH CENTRAL,80,DECATUR,48
2018,IOWA,SOUTH CENTRAL,80,LUCAS,41.5
2018,IOWA,SOUTH CENTRAL,80,MADISON,50.9
2018,IOWA,SOUTH CENTRAL,80,MARION,58.3
2018,IOWA,SOUTH CENTRAL,80,MONROE,50.4
2018,IOWA,SOUTH CENTRAL,80,RINGGOLD,47.2
2018,IOWA,SOUTH CENTRAL,80,UNION,48.6
2018,IOWA,SOUTH CENTRAL,80,WARREN,52
2018,IOWA,SOUTH CENTRAL,80,WAYNE,49
2018,IOWA,NORTHWEST,10,BUENA VISTA,55.5
2018,IOWA,NORTHWEST,10,CHEROKEE,64.3
2018,IOWA,NORTHWEST,10,CLAY,52.6
2018,IOWA,NORTHWEST,10,DICKINSON,49.8
2018,IOWA,NORTHWEST,10,EMMET,46.7
2018,IOWA,NORTHWEST,10,LYON,60.6
2018,IOWA,NORTHWEST,10,O BRIEN,59.9
2018,IOWA,NORTHWEST,10,OSCEOLA,57.2
2018,IOWA,NORTHWEST,10,PALO ALTO,48.8
2018,IOWA,NORTHWEST,10,PLYMOUTH,61.3
2018,IOWA,NORTHWEST,10,POCAHONTAS,49.7
2018,IOWA,NORTHWEST,10,SIOUX,65.8
2018,IOWA,NORTHEAST,30,ALLAMAKEE,52.8
2018,IOWA,NORTHEAST,30,BLACK HAWK,58.4
2018,IOWA,NORTHEAST,30,BREMER,57.3
2018,IOWA,NORTHEAST,30,BUCHANAN,57.2
2018,IOWA,NORTHEAST,30,CHICKASAW,53.2
2018,IOWA,NORTHEAST,30,CLAYTON,58.8
2018,IOWA,NORTHEAST,30,DELAWARE,63.9
2018,IOWA,NORTHEAST,30,DUBUQUE,62
2018,IOWA,NORTHEAST,30,FAYETTE,56.5
2018,IOWA,NORTHEAST,30,HOWARD,53.7
2018,IOWA,NORTHEAST,30,WINNESHIEK,51.7
2018,IOWA,NORTH CENTRAL,20,BUTLER,56.1
2018,IOWA,NORTH CENTRAL,20,CERRO GORDO,51.7
2018,IOWA,NORTH CENTRAL,20,FLOYD,49.8
2018,IOWA,NORTH CENTRAL,20,FRANKLIN,58.5
2018,IOWA,NORTH CENTRAL,20,HANCOCK,53.2
2018,IOWA,NORTH CENTRAL,20,HUMBOLDT,50.4
2018,IOWA,NORTH CENTRAL,20,KOSSUTH,54.2
2018,IOWA,NORTH CENTRAL,20,MITCHELL,55.6
2018,IOWA,NORTH CENTRAL,20,WINNEBAGO,51.8
2018,IOWA,NORTH CENTRAL,20,WORTH,53.7
2018,IOWA,NORTH CENTRAL,20,WRIGHT,52.6
2018,IOWA,EAST CENTRAL,60,BENTON,61
2018,IOWA,EAST CENTRAL,60,CEDAR,63.3
2018,IOWA,EAST CENTRAL,60,CLINTON,58.3
2018,IOWA,EAST CENTRAL,60,IOWA,56
2018,IOWA,EAST CENTRAL,60,JACKSON,58.1
2018,IOWA,EAST CENTRAL,60,JOHNSON,59.9
2018,IOWA,EAST CENTRAL,60,JONES,60.1
2018,IOWA,EAST CENTRAL,60,LINN,57.7
2018,IOWA,EAST CENTRAL,60,MUSCATINE,61.7
2018,IOWA,EAST CENTRAL,60,SCOTT,63.7
2018,IOWA,CENTRAL,50,BOONE,54.6
2018,IOWA,CENTRAL,50,DALLAS,52.8
2018,IOWA,CENTRAL,50,GRUNDY,61.9
2018,IOWA,CENTRAL,50,HAMILTON,49.9
2018,IOWA,CENTRAL,50,HARDIN,59.3
2018,IOWA,CENTRAL,50,JASPER,60.7
2018,IOWA,CENTRAL,50,MARSHALL,61.9
2018,IOWA,CENTRAL,50,POLK,53.4
2018,IOWA,CENTRAL,50,POWESHIEK,58.2
2018,IOWA,CENTRAL,50,STORY,52.8
2018,IOWA,CENTRAL,50,TAMA,60.1
2018,IOWA,CENTRAL,50,WEBSTER,51.1
2019,IOWA,WEST CENTRAL,40,AUDUBON,58.9
2019,IOWA,WEST CENTRAL,40,CALHOUN,55.1
2019,IOWA,WEST CENTRAL,40,CARROLL,58.8
2019,IOWA,WEST CENTRAL,40,CRAWFORD,61.9
