Year,State,Ag District,Ag District Code,County,Value
2022,MINNESOTA,NORTHWEST,10,BECKER,43.3
2022,MINNESOTA,NORTHWEST,10,CLEARWATER,36.1
2022,MINNESOTA,NORTHWEST,10,KITTSON,44.8
2022,MINNESOTA,NORTHWEST,10,MAHNOMEN,44.4
2022,MINNESOTA,NORTHWEST,10,MARSHALL,37.2
2022,MINNESOTA,NORTHWEST,10,NORMAN,42.6
2022,MINNESOTA,NORTHWEST,10,PENNINGTON,34.5
2022,MINNESOTA,NORTHWEST,10,POLK,38.5
2022,MINNESOTA,NORTHWEST,10,RED LAKE,38.7
2022,MINNESOTA,NORTHWEST,10,ROSEAU,41.7
2021,MINNESOTA,NORTHWEST,10,BECKER,38.1
2021,MINNESOTA,NORTHWEST,10,CLAY,42.4
2021,MINNESOTA,NORTHWEST,10,CLEARWATER,24.3
2021,MINNESOTA,NORTHWEST,10,KITTSON,23.5
2021,MINNESOTA,NORTHWEST,10,MARSHALL,29.7
2021,MINNESOTA,NORTHWEST,10,NORMAN,24.3
2021,MINNESOTA,NORTHWEST,10,PENNINGTON,19.8
2021,MINNESOTA,NORTHWEST,10,POLK,24.1
2021,MINNESOTA,NORTHWEST,10,RED LAKE,18.4
2021,MINNESOTA,NORTHWEST,10,ROSEAU,23.6
2020,MINNESOTA,NORTHWEST,10,BECKER,39.1
2020,MINNESOTA,NORTHWEST,10,CLAY,40
2020,MINNESOTA,NORTHWEST,10,CLEARWATER,43.7
2020,MINNESOTA,NORTHWEST,10,KITTSON,32.3
2020,MINNESOTA,NORTHWEST,10,MAHNOMEN,38.7
2020,MINNESOTA,NORTHWEST,10,MARSHALL,32.1
2020,MINNESOTA,NORTHWEST,10,NORMAN,34.7
2020,MINNESOTA,NORTHWEST,10,PENNINGTON,35.1
2020,MINNESOTA,NORTHWEST,10,POLK,36.7
2020,MINNESOTA,NORTHWEST,10,RED LAKE,36
2020,MINNESOTA,NORTHWEST,10,ROSEAU,28
2019,MINNESOTA,NORTHWEST,10,BECKER,35.2
2019,MINNESOTA,NORTHWEST,10,CLAY,38.8
2019,MINNESOTA,NORTHWEST,10,CLEARWATER,40.2
2019,MINNESOTA,NORTHWEST,10,KITTSON,30.1
2019,MINNESOTA,NORTHWEST,10,MARSHALL,33.9
2019,MINNESOTA,NORTHWEST,10,NORMAN,35.1
2019,MINNESOTA,NORTHWEST,10,OTHER (COMBINED) COUNTIES,34.8
2019,MINNESOTA,NORTHWEST,10,POLK,35.3
2019,MINNESOTA,NORTHWEST,10,RED LAKE,36.7
2019,MINNESOTA,NORTHWEST,10,ROSEAU,35.6
2018,MINNESOTA,NORTHWEST,10,BECKER,44.5
2018,MINNESOTA,NORTHWEST,10,CLAY,45.6
2018,MINNESOTA,NORTHWEST,10,CLEARWATER,39.3
2018,MINNESOTA,NORTHWEST,10,KITTSON,31.5
2018,MINNESOTA,NORTHWEST,10,MARSHALL,34
2018,MINNESOTA,NORTHWEST,10,OTHER (COMBINED) COUNTIES,40.5
2018,MINNESOTA,NORTHWEST,10,POLK,42.7
2018,MINNESOTA,NORTHWEST,10,RED LAKE,38
2018,MINNESOTA,NORTHWEST,10,ROSEAU,33.9
2022,MINNESOTA,NORTH CENTRAL,20,BELTRAMI,35.6
2022,MINNESOTA,NORTH CENTRAL,20,CASS,35.7
2022,MINNESOTA,NORTH CENTRAL,20,ITASCA,28
2022,MINNESOTA,NORTH CENTRAL,20,KOOCHICHING,30.6
2022,MINNESOTA,NORTH CENTRAL,20,LAKE OF THE WOODS,39.1
2021,MINNESOTA,NORTH CENTRAL,20,BELTRAMI,26
2021,MINNESOTA,NORTH CENTRAL,20,CASS,39.2
2021,MINNESOTA,NORTH CENTRAL,20,ITASCA,37.3
2021,MINNESOTA,NORTH CENTRAL,20,LAKE OF THE WOODS,28.8
2020,MINNESOTA,NORTH CENTRAL,20,BELTRAMI,36.1
2020,MINNESOTA,NORTH CENTRAL,20,CASS,32.5
2020,MINNESOTA,NORTH CENTRAL,20,ITASCA,36.9
2020,MINNESOTA,NORTH CENTRAL,20,KOOCHICHING,33.7
2020,MINNESOTA,NORTH CENTRAL,20,LAKE OF THE WOODS,34.1
2019,MINNESOTA,NORTH CENTRAL,20,BELTRAMI,32.8
2019,MINNESOTA,NORTH CENTRAL,20,KOOCHICHING,32.3
2019,MINNESOTA,NORTH CENTRAL,20,LAKE OF THE WOODS,34.8
2019,MINNESOTA,NORTH CENTRAL,20,OTHER (COMBINED) COUNTIES,34.6
2019,MINNESOTA,NORTHEAST,30,OTHER (COMBINED) COUNTIES,35
2022,MINNESOTA,WEST CENTRAL,40,BIG STONE,41
2022,MINNESOTA,WEST CENTRAL,40,CHIPPEWA,48.1
2022,MINNESOTA,WEST CENTRAL,40,DOUGLAS,42.6
2022,MINNESOTA,WEST CENTRAL,40,GRANT,43.5
2022,MINNESOTA,WEST CENTRAL,40,OTTER TAIL,39.5
2022,MINNESOTA,WEST CENTRAL,40,POPE,44.3
2022,MINNESOTA,WEST CENTRAL,40,STEVENS,45.4
2022,MINNESOTA,WEST CENTRAL,40,SWIFT,46.6
2022,MINNESOTA,WEST CENTRAL,40,TRAVERSE,42.2
2022,MINNESOTA,WEST CENTRAL,40,WILKIN,37.2
2022,MINNESOTA,WEST CENTRAL,40,YELLOW MEDICINE,49.7
2021,MINNESOTA,WEST CENTRAL,40,BIG STONE,49.6
2021,MINNESOTA,WEST CENTRAL,40,CHIPPEWA,52.6
2021,MINNESOTA,WEST CENTRAL,40,DOUGLAS,37.2
2021,MINNESOTA,WEST CENTRAL,40,GRANT,46.7
2021,MINNESOTA,WEST CENTRAL,40,OTTER TAIL,27.6
2021,MINNESOTA,WEST CENTRAL,40,POPE,37.5
2021,MINNESOTA,WEST CENTRAL,40,STEVENS,45.7
2021,MINNESOTA,WEST CENTRAL,40,SWIFT,50.2
2021,MINNESOTA,WEST CENTRAL,40,TRAVERSE,46.6
2021,MINNESOTA,WEST CENTRAL,40,WILKIN,35.8
2020,MINNESOTA,WEST CENTRAL,40,BIG STONE,47.7
2020,MINNESOTA,WEST CENTRAL,40,CHIPPEWA,55.8
2020,MINNESOTA,WEST CENTRAL,40,DOUGLAS,45.6
2020,MINNESOTA,WEST CENTRAL,40,GRANT,44.5
2020,MINNESOTA,WEST CENTRAL,40,LAC QUI PARLE,50.4
2020,MINNESOTA,WEST CENTRAL,40,OTTER TAIL,45.1
2020,MINNESOTA,WEST CENTRAL,40,POPE,46
2020,MINNESOTA,WEST CENTRAL,40,STEVENS,48.3
2020,MINNESOTA,WEST CENTRAL,40,SWIFT,51.2
2020,MINNESOTA,WEST CENTRAL,40,TRAVERSE,44.3
2020,MINNESOTA,WEST CENTRAL,40,WILKIN,37.1
2020,MINNESOTA,WEST CENTRAL,40,YELLOW MEDICINE,49.4
2019,MINNESOTA,WEST CENTRAL,40,BIG STONE,42.1
2019,MINNESOTA,WEST CENTRAL,40,CHIPPEWA,47.9
2019,MINNESOTA,WEST CENTRAL,40,DOUGLAS,41.5
2019,MINNESOTA,WEST CENTRAL,40,GRANT,43.3
2019,MINNESOTA,WEST CENTRAL,40,LAC QUI PARLE,49.9
